,,,,,,,
ID,Name,symbol,,ID, USD price ,Market Cap,Platform ID
1,Bitcoin,BTC,,1,"$18,662.23",357261239829.90,NULL
1027,Ethereum,ETH,,1027,"$1,502.61",183723314741.86,NULL
825,Tether,USDT,,825,$1.00,67549864198.03,1027
3408,USD Coin,USDC,,3408,$1.00,51624963989.89,1027
1839,BNB,BNB,,1839,$261.32,42160333587.34,NULL
4687,Binance USD,BUSD,,4687,$1.00,19731307293.16,1839
52,XRP,XRP,,52,$0.32,15734409203.75,NULL
2010,Cardano,ADA,,2010,$0.46,15594380705.65,NULL
5426,Solana,SOL,,5426,$30.60,10725521400.22,NULL
74,Dogecoin,DOGE,,74,$0.06,7704489180.22,NULL
6636,Polkadot,DOT,,6636,$6.83,7611318427.94,NULL
3890,Polygon,MATIC,,3890,$0.80,6980054236.84,NULL
4943,Dai,DAI,,4943,$1.00,6856405410.20,1027
5994,Shiba Inu,SHIB,,5994,$0.00,6526783776.51,1027
1958,TRON,TRX,,1958,$0.06,5567641401.56,NULL
5805,Avalanche,AVAX,,5805,$18.04,5316807856.85,NULL
3957,UNUS SED LEO,LEO,,3957,$5.14,4905441713.08,1027
3717,Wrapped Bitcoin,WBTC,,3717,"$18,639.17",4631069643.85,1027
1321,Ethereum Classic,ETC,,1321,$33.43,4570463947.06,NULL
7083,Uniswap,UNI,,7083,$5.77,4305328964.73,1027
2,Litecoin,LTC,,2,$53.35,3793720798.48,NULL
4195,FTX Token,FTT,,4195,$25.29,3391134434.54,1839
3794,Cosmos,ATOM,,3794,$11.61,3324765498.08,NULL
1975,Chainlink,LINK,,1975,$6.63,3257484116.54,1027
6535,NEAR Protocol,NEAR,,6535,$4.10,3190422628.71,NULL
3635,Cronos,CRO,,3635,$0.11,2774969841.47,1027
328,Monero,XMR,,328,$142.82,2595108166.40,NULL
512,Stellar,XLM,,512,$0.10,2507433037.76,NULL
1831,Bitcoin Cash,BCH,,1831,$111.45,2136163534.17,NULL
4030,Algorand,ALGO,,4030,$0.28,1954664434.87,NULL
4558,Flow,FLOW,,4558,$1.74,1807052061.84,NULL
3077,VeChain,VET,,3077,$0.02,1648242928.10,NULL
8916,Internet Computer,ICP,,8916,$6.16,1577931537.13,NULL
2280,Filecoin,FIL,,2280,$5.59,1544504285.10,NULL
1765,EOS,EOS,,1765,$1.38,1374935614.35,NULL
1966,Decentraland,MANA,,1966,$0.73,1349456019.91,1027
18876,ApeCoin,APE,,18876,$4.22,1294461433.94,1027
2011,Tezos,XTZ,,2011,$1.41,1282019198.93,NULL
6210,The Sandbox,SAND,,6210,$0.86,1271591617.88,1027
4642,Hedera,HBAR,,4642,$0.06,1225810327.00,NULL
7278,Aave,AAVE,,7278,$82.78,1159940097.79,1027
4066,Chiliz,CHZ,,4066,$0.19,1126758833.28,1027
6892,Elrond,EGLD,,6892,$48.40,1118242285.57,NULL
6783,Axie Infinity,AXS,,6783,$12.95,1083295613.47,1027
2416,Theta Network,THETA,,2416,$1.06,1063078583.49,NULL
2563,TrueUSD,TUSD,,2563,$1.00,1063301777.85,1027
3155,Quant,QNT,,3155,$87.57,1057253415.96,1027
3330,Pax Dollar,USDP,,3330,$1.00,944089967.28,1027
3602,Bitcoin SV,BSV,,3602,$49.19,942700572.70,NULL
2087,KuCoin Token,KCS,,2087,$9.01,886347595.77,NULL
1437,Zcash,ZEC,,1437,$57.68,877317843.98,NULL
3897,OKB,OKB,,3897,$13.98,838748946.85,1027
16086,BitTorrent-New,BTT,,16086,$0.00,806229716.63,1958
10791,eCash,XEC,,10791,$0.00,752085120.40,NULL
19891,USDD,USDD,,19891,$1.00,724140835.29,1027
1720,IOTA,MIOTA,,1720,$0.26,716453239.49,NULL
1518,Maker,MKR,,1518,$718.93,702847866.41,1027
2502,Huobi Token,HT,,2502,$4.58,701856337.83,1027
6719,The Graph,GRT,,6719,$0.10,672413104.68,1027
4256,Klaytn,KLAY,,4256,$0.22,653135670.44,NULL
2586,Synthetix,SNX,,2586,$2.74,650738395.39,1027
5068,Neutrino USD,USDN,,5068,$0.94,645241477.46,1027
3513,Fantom,FTM,,3513,$0.24,616906027.07,NULL
1376,Neo,NEO,,1376,$8.44,595304989.31,NULL
4157,THORChain,RUNE,,4157,$1.74,574799576.76,1839
8000,Lido DAO,LDO,,8000,$1.81,565392099.20,1027
4705,PAX Gold,PAXG,,4705,"$1,688.12",551041379.26,1027
6538,Curve DAO Token,CRV,,6538,$1.02,540691135.33,1027
7186,PancakeSwap,CAKE,,7186,$3.86,537630547.16,1839
2130,Enjin Coin,ENJ,,2130,$0.48,479215896.29,1027
2694,Nexo,NEXO,,2694,$0.84,472587354.96,1027
131,Dash,DASH,,131,$42.57,464090957.67,NULL
1697,Basic Attention Token,BAT,,1697,$0.31,463945564.75,1027
1274,Waves,WAVES,,1274,$4.20,459297039.90,NULL
5665,Helium,HNT,,5665,$3.57,448870840.00,NULL
4847,Stacks,STX,,4847,$0.33,444539501.84,NULL
2469,Zilliqa,ZIL,,2469,$0.03,442216972.65,NULL
1934,Loopring,LRC,,1934,$0.32,431247049.50,1027
8642,Fei USD,FEI,,8642,$0.99,419810728.47,1027
8646,Mina,MINA,,8646,$0.62,411293456.95,NULL
1168,Decred,DCR,,1168,$27.79,398217234.15,NULL
5964,Trust Wallet Token,TWT,,5964,$0.94,390365752.13,1839
2083,Bitcoin Gold,BTG,,2083,$22.18,388527476.34,NULL
7129,TerraClassicUSD,USTC,,7129,$0.04,387209835.61,NULL
5034,Kusama,KSM,,5034,$45.53,385634709.96,NULL
1659,Gnosis,GNO,,1659,$147.93,381590913.07,1027
4846,Kava,KAVA,,4846,$1.52,381732783.78,1027
18069,STEPN,GMT,,18069,$0.63,375167098.64,1839
873,NEM,XEM,,873,$0.04,371408820.25,NULL
2577,Ravencoin,RVN,,2577,$0.04,369629307.80,NULL
3306,Gemini Dollar,GUSD,,3306,$0.99,358491135.26,1027
5567,Celo,CELO,,5567,$0.77,356353919.36,NULL
8104,1inch Network,1INCH,,8104,$0.61,352944807.97,1027
9903,Convex Finance,CVX,,9903,$5.07,341655074.19,1027
2682,Holo,HOT,,2682,$0.00,331331126.44,1027
7080,Gala,GALA,,7080,$0.05,327591063.11,1027
5692,Compound,COMP,,5692,$44.31,320315042.37,1027
2700,Celsius,CEL,,2700,$1.33,317959719.64,1027
3783,Ankr,ANKR,,3783,$0.03,315423281.70,1027
2634,XDC Network,XDC,,2634,$0.03,313563862.34,NULL
